station_code,station_name,period,indicator,measure,unit,value
TRF2,Trafford A56,2021-06-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,14.6
TRAF,Trafford Moss Park,2021-06-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,12.9
TRF2,Trafford A56,2021-09-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,14.4
TRAF,Trafford Moss Park,2021-09-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,13.4
TRF2,Trafford A56,2021-12-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,14.4
TRAF,Trafford Moss Park,2021-12-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,13.2
TRF2,Trafford A56,2022-03-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,15.1
TRAF,Trafford Moss Park,2022-03-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,14.8
TRF2,Trafford A56,2022-06-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,15.3
TRAF,Trafford Moss Park,2022-06-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,16.3
TRF2,Trafford A56,2022-09-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,15.7
TRAF,Trafford Moss Park,2022-09-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,16.2
TRF2,Trafford A56,2022-12-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,15.9
TRAF,Trafford Moss Park,2022-12-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,17
TRF2,Trafford A56,2023-03-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,14.2
TRAF,Trafford Moss Park,2023-03-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,15
TRF2,Trafford A56,2023-06-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,13.8
TRAF,Trafford Moss Park,2023-06-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,13.7
TRF2,Trafford A56,2023-09-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,14
TRAF,Trafford Moss Park,2023-09-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,12.4
TRF2,Trafford A56,2023-12-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,12.9
TRAF,Trafford Moss Park,2023-12-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,11.1
TRF2,Trafford A56,2024-03-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,12.7
TRAF,Trafford Moss Park,2024-03-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,10.5
